CITY/COMMUNITY (if in Los Angeles City),new_cases,total_cases,lat,long,date
Alhambra,0,1,34.0953,-118.1270,3/18/2020
Arcadia,0,2,34.1397,-118.0353,3/18/2020
Beverly Hills,0,4,34.0736,-118.4004,3/18/2020
Carson,0,1,33.8374,-118.2559,3/18/2020
Culver City,0,2,34.0211,-118.3965,3/18/2020
Diamond Bar,0,2,34.0286,-117.8103,3/18/2020
Gardena,0,1,33.8938,-118.3080,3/18/2020
Glendale,0,4,34.1425,-118.2551,3/18/2020
Inglewood,0,1,33.9610,-118.3554,3/18/2020
La Mirada,0,3,33.9190,-118.0105,3/18/2020
Baldwin Hills,0,1,34.0047,-118.3415,3/18/2020
Boyle Heights,0,5,34.0339,-118.2054,3/18/2020
Brentwood,1,2,34.0519,-118.4731,3/18/2020
Century Palms/Cove,1,1,33.9461,-118.2732,3/18/2020
Eagle Rock,0,1,34.1322,-118.2117,3/18/2020
Encino,1,6,34.1517,-118.5214,3/18/2020
Granada Hills,0,3,34.2794,-118.5022,3/18/2020
Hollywood,3,5,34.1016,-118.3337,3/18/2020
Hollywood Hills,0,2,34.1341,-118.3215,3/18/2020
Koreatown,0,1,34.0578,-118.3009,3/18/2020
Mar Vista,0,1,34.0037,-118.4690,3/18/2020
Melrose,1,10,34.0837,-118.3366,3/18/2020
North Hollywood,1,2,34.1870,-118.3813,3/18/2020
Northridge,0,1,34.2379,-118.5302,3/18/2020
Reseda,0,1,34.2011,-118.5360,3/18/2020
San Pedro,0,1,33.7361,-118.2922,3/18/2020
Sherman Oaks,2,4,34.1500,-118.4489,3/18/2020
Silverlake,0,1,34.0869,-118.2702,3/18/2020
Sylmar,1,1,34.3058,-118.4572,3/18/2020
Tarzana,0,5,34.1509,-118.5517,3/18/2020
Venice,2,4,33.9764,-118.4667,3/18/2020
West Adams,0,1,34.0342,-118.3623,3/18/2020
West Hills,0,3,34.1973,-118.6440,3/18/2020
West Los Angeles,1,1,34.0399,-118.4422,3/18/2020
West Vernon,0,1,34.0039,-118.2301,3/18/2020
Westchester,0,2,33.9597,-118.4006,3/18/2020
Woodland Hills,1,3,34.1659,-118.6104,3/18/2020
Lynwood,0,1,33.9293,-118.2139,3/18/2020
Manhattan Beach,0,4,33.8812,-118.4072,3/18/2020
Monterey Park,1,2,34.0625,-118.1228,3/18/2020
San Dimas,0,1,34.1067,-117.8067,3/18/2020
Santa Clarita,0,2,34.3917,-118.5426,3/18/2020
Santa Monica,1,3,34.0242,-118.4965,3/18/2020
South Pasadena,0,1,34.1165,-118.1468,3/18/2020
Torrance,1,2,33.8408,-118.3454,3/18/2020
