,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long
11809,Acton,0.0,0.0,2020-03-30,2020-03-27,,34.47,-118.1967
11810,Adams-Normandie,0.0,0.0,2020-03-30,2020-03-27,,34.0343,-118.2993
11811,Agoura Hills,9.0,42.52,2020-03-30,2020-03-27,,34.1364,-118.7745
11812,Agua Dulce,0.0,0.0,2020-03-30,2020-03-27,,,
11813,Alhambra,11.0,12.69,2020-03-30,2020-03-27,,34.0953,-118.12700000000001
11814,Alsace,0.0,0.0,2020-03-30,2020-03-27,,33.9786,-118.4156
11815,Altadena,10.0,23.55,2020-03-30,2020-03-27,,34.1902,-118.1313
11816,Anaverde,0.0,0.0,2020-03-30,2020-03-27,,,
11817,Angeles National Forest,0.0,0.0,2020-03-30,2020-03-27,,,
11818,Angelino Heights,0.0,0.0,2020-03-30,2020-03-27,,34.0703,-118.2548
11819,Arcadia,9.0,15.79,2020-03-30,2020-03-27,,34.1397,-118.0353
11820,Arleta,5.0,14.24,2020-03-30,2020-03-27,,34.2419,-118.4256
11821,Artesia,0.0,0.0,2020-03-30,2020-03-27,,33.8658,-118.0831
11822,Athens Village,0.0,0.0,2020-03-30,2020-03-27,,33.92,-118.2812
11823,Athens-Westmont,7.0,16.81,2020-03-30,2020-03-27,,33.9238,-118.3019
11824,Atwater Village,0.0,0.0,2020-03-30,2020-03-27,,34.1173,-118.2614
11825,Avalon,0.0,0.0,2020-03-30,2020-03-27,,,
11826,Avocado Heights,0.0,0.0,2020-03-30,2020-03-27,,34.0361,-117.9912
11827,Azusa,3.0,6.06,2020-03-30,2020-03-27,,34.1336,-117.9076
11828,Baldwin Hills,9.0,30.01,2020-03-30,2020-03-27,,34.0047,-118.3415
11829,Baldwin Park,0.0,0.0,2020-03-30,2020-03-27,,34.0853,-117.9609
11830,Bandini Islands,0.0,0.0,2020-03-30,2020-03-27,,,
11831,Bassett,0.0,0.0,2020-03-30,2020-03-27,,34.0758,-118.3678
11832,Bel Air,9.0,109.52,2020-03-30,2020-03-27,,34.0833,-118.4487
11833,Bell,11.0,30.06,2020-03-30,2020-03-27,,33.9761,-118.1851
11834,Bell Gardens,2.0,4.67,2020-03-30,2020-03-27,,33.9653,-118.1515
11835,Bellflower,17.0,22.35,2020-03-30,2020-03-27,,33.88221,-118.118
11836,Beverly Crest,19.0,153.29,2020-03-30,2020-03-27,,34.1024,-118.4163
11837,Beverly Hills,28.0,80.8,2020-03-30,2020-03-27,,34.0736,-118.4004
11838,Beverlywood,11.0,82.58,2020-03-30,2020-03-27,,34.0409,-118.3919
11839,Bouquet Canyon,0.0,0.0,2020-03-30,2020-03-27,,,
11840,Boyle Heights,11.0,12.61,2020-03-30,2020-03-27,,34.0339,-118.2054
11841,Bradbury,0.0,0.0,2020-03-30,2020-03-27,,,
11842,Brentwood,34.0,108.74,2020-03-30,2020-03-27,,34.0519,-118.4731
11843,Brookside,0.0,0.0,2020-03-30,2020-03-27,,,
11844,Burbank,21.0,20.06,2020-03-30,2020-03-27,,34.1808,-118.309
11845,Cadillac-Corning,0.0,0.0,2020-03-30,2020-03-27,,34.040282,-118.38025
11846,Calabasas,11.0,45.49,2020-03-30,2020-03-27,,34.1383,-118.6608
11847,Canoga Park,4.0,6.28,2020-03-30,2020-03-27,,34.2011,-118.5981
11848,Canyon Country,0.0,0.0,2020-03-30,2020-03-27,,34.4245,-118.4711
11849,Carson,35.0,37.34,2020-03-30,2020-03-27,,33.8374,-118.2559
11850,Carthay,15.0,111.79,2020-03-30,2020-03-27,,34.0573,-118.3679
11851,Castaic,3.0,10.59,2020-03-30,2020-03-27,,34.4889,-118.6229
11852,Central,6.0,15.34,2020-03-30,2020-03-27,,34.0833,-118.4487
11853,Century City,9.0,74.31,2020-03-30,2020-03-27,,34.0556,-118.4179
11854,Century Palms/Cove,8.0,23.62,2020-03-30,2020-03-27,,33.9461,-118.2732
11855,Cerritos,5.0,10.15,2020-03-30,2020-03-27,,33.8584,-118.0648
11856,Charter Oak,0.0,0.0,2020-03-30,2020-03-27,,,
11857,Chatsworth,10.0,27.75,2020-03-30,2020-03-27,,34.2506,-118.6148
11858,Cheviot Hills,5.0,53.97,2020-03-30,2020-03-27,,34.0458,-118.4079
11859,Chinatown,0.0,0.0,2020-03-30,2020-03-27,,34.0623,-118.2383
11860,Claremont,1.0,2.77,2020-03-30,2020-03-27,,34.1261,-117.7158
11861,Cloverdale/Cochran,0.0,0.0,2020-03-30,2020-03-27,,34.0626,-118.3465
11862,Commerce,0.0,0.0,2020-03-30,2020-03-27,,34.0006,-118.1598
11863,Compton,13.0,12.88,2020-03-30,2020-03-27,,33.8958,-118.2201
