neighborhood,current_cases,lat,long,ds
Alhambra,1,34.0953,-118.1270,2020-03-18
Arcadia,2,34.1397,-118.0353,2020-03-18
Beverly Hills,4,34.0736,-118.4004,2020-03-18
Carson,1,33.8374,-118.2559,2020-03-18
Culver City,2,34.0211,-118.3965,2020-03-18
Diamond Bar,2,34.0286,-117.8103,2020-03-18
Gardena,1,33.8938,-118.3080,2020-03-18
Glendale,4,34.1425,-118.2551,2020-03-18
Inglewood,1,33.9610,-118.3554,2020-03-18
La Mirada,3,33.9190,-118.0105,2020-03-18
Baldwin Hills,1,34.0047,-118.3415,2020-03-18
Boyle Heights,5,34.0339,-118.2054,2020-03-18
Brentwood,2,34.0519,-118.4731,2020-03-18
Century Palms/Cove,1,33.9461,-118.2732,2020-03-18
Eagle Rock,1,34.1322,-118.2117,2020-03-18
Encino,6,34.1517,-118.5214,2020-03-18
Granada Hills,3,34.2794,-118.5022,2020-03-18
Hollywood,5,34.1016,-118.3337,2020-03-18
Hollywood Hills,2,34.1341,-118.3215,2020-03-18
Koreatown,1,34.0578,-118.3009,2020-03-18
Mar Vista,1,34.0037,-118.4690,2020-03-18
Melrose,10,34.0837,-118.3366,2020-03-18
North Hollywood,2,34.1870,-118.3813,2020-03-18
Northridge,1,34.2379,-118.5302,2020-03-18
Reseda,1,34.2011,-118.5360,2020-03-18
San Pedro,1,33.7361,-118.2922,2020-03-18
Sherman Oaks,4,34.1500,-118.4489,2020-03-18
Silverlake,1,34.0869,-118.2702,2020-03-18
Sylmar,1,34.3058,-118.4572,2020-03-18
Tarzana,5,34.1509,-118.5517,2020-03-18
Venice,4,33.9764,-118.4667,2020-03-18
West Adams,1,34.0342,-118.3623,2020-03-18
West Hills,3,34.1973,-118.6440,2020-03-18
West Los Angeles,1,34.0399,-118.4422,2020-03-18
West Vernon,1,34.0039,-118.2301,2020-03-18
Westchester,2,33.9597,-118.4006,2020-03-18
Woodland Hills,3,34.1659,-118.6104,2020-03-18
Lynwood,1,33.9293,-118.2139,2020-03-18
Manhattan Beach,4,33.8812,-118.4072,2020-03-18
Monterey Park,2,34.0625,-118.1228,2020-03-18
San Dimas,1,34.1067,-117.8067,2020-03-18
Santa Clarita,2,34.3917,-118.5426,2020-03-18
Santa Monica,3,34.0242,-118.4965,2020-03-18
South Pasadena,1,34.1165,-118.1468,2020-03-18
Torrance,2,33.8408,-118.3454,2020-03-18
Walnut,1,34.0203,-117.8653,2020-03-18
West Hollywood,11,34.0907,-118.3860,2020-03-18
Alhambra,2,34.0953,-118.1270,2020-03-19
Arcadia,2,34.1397,-118.0353,2020-03-19
Baldwin Hills,1,34.0047,-118.3415,2020-03-19
Beverly Hills,4,34.0736,-118.4004,2020-03-19
Beverlywood,2,34.0409,-118.3919,2020-03-19
Boyle Heights,5,34.0339,-118.2054,2020-03-19
Brentwood,13,34.0519,-118.4731,2020-03-19
Burbank,1,34.1808,-118.3090,2020-03-19
Calabasas,1,34.1383,-118.6608,2020-03-19
Carson,1,33.8374,-118.2559,2020-03-19
Castaic,1,34.4889,-118.6229,2020-03-19
Covina,1,34.0900,-117.8903,2020-03-19
