neighborhood,lat,long
Alhambra,34.0953,-118.1270
Arcadia,34.1397,-118.0353
Beverly Hills,34.0736,-118.4004
Carson,33.8374,-118.2559
Culver City,34.0211,-118.3965
Diamond Bar,34.0286,-117.8103
Gardena,33.8938,-118.3080
Glendale,34.1425,-118.2551
Inglewood,33.9610,-118.3554
La Mirada,33.9190,-118.0105
Baldwin Hills,34.0047,-118.3415
Boyle Heights,34.0339,-118.2054
Brentwood,34.0519,-118.4731
Century Palms/Cove,33.9461,-118.2732
Eagle Rock,34.1322,-118.2117
Encino,34.1517,-118.5214
Granada Hills,34.2794,-118.5022
Hollywood,34.1016,-118.3337
Hollywood Hills,34.1341,-118.3215
Koreatown,34.0578,-118.3009
Mar Vista,34.0037,-118.4690
Melrose,34.0837,-118.3366
North Hollywood,34.1870,-118.3813
Northridge,34.2379,-118.5302
Reseda,34.2011,-118.5360
San Pedro,33.7361,-118.2922
Sherman Oaks,34.1500,-118.4489
Silverlake,34.0869,-118.2702
Sylmar,34.3058,-118.4572
Tarzana,34.1509,-118.5517
Venice,33.9764,-118.4667
West Adams,34.0342,-118.3623
West Hills,34.1973,-118.6440
West Los Angeles,34.0399,-118.4422
West Vernon,34.0039,-118.2301
Westchester,33.9597,-118.4006
Woodland Hills,34.1659,-118.6104
Lynwood,33.9293,-118.2139
Manhattan Beach,33.8812,-118.4072
Monterey Park,34.0625,-118.1228
San Dimas,34.1067,-117.8067
Santa Clarita,34.3917,-118.5426
Santa Monica,34.0242,-118.4965
South Pasadena,34.1165,-118.1468
Torrance,33.8408,-118.3454
Walnut,34.0203,-117.8653
West Hollywood,34.0907,-118.3860
Beverlywood,34.0409,-118.3919
Burbank,34.1808,-118.3090
Calabasas,34.1383,-118.6608
Castaic,34.4889,-118.6229
Covina,34.0900,-117.8903
Crestview,34.0458,-118.3816
East Los Angeles,34.0316,-118.1724
Echo Park,34.0782,-118.2606
Hancock Park,34.0745,-118.3304
Hawthorne,33.9194,-118.3540
Lawndale,33.8881,-118.3535
Lomita,33.7922,-118.3151
Pacific Palisades,34.0481,-118.5265
Palms,34.0237,-118.4151
Park LaBrea,34.0702,-118.3497
Playa Vista,33.9728,-118.4276
Santa Monica Mountains,34.1203,-118.9318
South El Monte,34.0493,-118.0469
Stevenson Ranch,34.3873,-118.5802
Studio City,34.1413,-118.3878
Tujunga,34.2633,-118.3027
University Park,34.0315,-118.2797
Valley Glen,34.1838,-118.4172
Van Nuys,34.1899,-118.4514
Vermont Knolls,33.9293,-118.2893
Westwood,34.0561,-118.4297
Whittier,33.9679,-118.0189
Long Beach,33.7701,-118.1937
Pasadena,34.1561,-118.1319
Altadena,34.1902,-118.1313
Century City,34.0556,-118.4179
Downtown,34.0422,-118.2488
El Segundo,33.9192,-118.4165
Lake Balboa,34.1839,-118.4954
Lakewood,33.8536,-118.1340
Lancaster,34.6868,-118.1542
Miracle Mile,34.0597,-118.3500
Redondo Beach,33.8492,-118.3884
San Fernado,34.2819,-118.4390
South Whittier,33.9608,-118.0417
Winnetka,34.2059,-118.5754
Athens,33.9200,-118.2812
Bellflower,33.88221,-118.1180
Canoga Park,34.2011,-118.5981
Cerritos,33.8584,-118.0648
Del Rey,33.9878,-118.4229
East Hollywood,34.0948,-118.2910
Glendora,34.1361,-117.8653
La Canada Flintridge,34.2091,-118.2001
La Verne,34.1202,-117.7704
Los Feliz,34.1124,-118.2851
Paramount,33.8895,-118.1598
Park La Brea,34.0702,-118.3497
Rancho Palos Verdes,33.7445,-118.3870
San Fernando,34.2819,-118.4390
South Gate,33.9560,-118.2113
Sun Valley,34.2274,-118.3811
Sunland,34.2660,-118.3114
Temple,34.1023,-118.0603
Vermont Vista,33.9465,-118.2826
Vernon Central,34.0043,-118.2570
West Covina,34.0686,-117.9390
Westlake,34.1458,-118.8056
Wilmington,33.7800,-118.2617
Montebello,34.0095,-118.1054
Agoura Hills,34.1364,-118.7745
Cloverdale/Cochran,34.0626,-118.3465
Compton,33.8958,-118.2201
Duarte,34.1607,-117.9504
Exposition Park,34.0147,-118.2872
Florence,33.9745,-118.2481
Hyde Park,33.9819,-118.3309
Lincoln Heights,34.0706,-118.2051
Palmdale,34.5794,-118.1093
South Park,34.0418,-118.2639
Wilshire Center,34.0642,-118.2984
Canyon Country,34.4245,-118.4711
Claremont,34.1261,-117.7158
Downey,33.9451,-118.1281
Harbor Gateway,33.8501,-118.2991
Harvard Heights,34.0440,-118.3042
Highland Park,34.1145,-118.1842
La Puente,34.0200,-117.9495
Mt. Washington,34.1003,-118.2097
Norwalk,33.9022,-118.0817
Pico,34.0544,-118.3858
Pico Rivera,33.9831,-118.0967
Porter Ranch,39.4346,-121.0205
San Gabriel,34.0968,-118.1057
Wholesale District,34.0300,-118.2452
Willowbrook,33.9170,-118.2551
Panorama City,34.2247,-118.4498
Pomona,34.0551,-117.7500
Valinda,34.0433,-117.9331
Watts,33.9386,-118.2380
Arleta,34.2419,-118.4256
Azusa,34.1336,-117.9076
Bell,33.9761,-118.1851
Bell Gardens,33.9653,-118.1515
Chatsworth,34.2506,-118.6148
Crenshaw District,34.0158,-118.3453
Glassell Park,34.1161,-118.2290
Hacienda Heights,33.9931,-117.9687
Harbor City,33.7900,-118.2978
Leimert Park,34.0118,-118.3234
Little Bangladesh,34.0691,-118.2956
Maywood,33.9885,-118.1874
Monrovia,34.1481,-117.9990
North Hills,34.2362,-118.4851
Pacoima,34.2625,-118.4270
West Whittier/Los Nietos,33.9760,-118.0691
Palos Verdes Estates,33.7871,-118.3976
Bel Air,34.0833,-118.4487
Beverly Crest,34.1024,-118.4163
Carthay,34.0573,-118.3679
Central,34.0833,-118.4487
Florence-Firestone,33.9632,-118.2426
Harvard Park,33.9841,-118.3042
Mid-city,34.0429,-118.3344
Pico-Union,34.0446,-118.2770
South Carthay,34.0561,-118.3734
Temple-Beaudry,34.0629,-118.2513
Valley Village,34.1633,-118.3842
Athens-Westmont,33.9238,-118.3019
Rowland Heights,33.9761,-117.9053
West Carson,33.8206,-118.2934
Huntington Park,33.9849,-118.2278
Rosemead,34.0806,-118.0728
Temple City,34.1072,-118.0579
El Sereno,34.0875,-118.1715
Mission Hills,34.2723,-118.4689
Azuza,34.1336,-117.9076
Hermosa Beach,33.8621,-118.4000
Lennox,33.9397,-118.3529
El Monte,34.0733,-118.0275
Cheviot Hills,34.0458,-118.4079
Baldwin Park,34.0853,-117.9609
Adams-Normandie,34.0343,-118.2993
Country Club Park,34.0503,-118.3212
Green Meadows,33.9556,-118.2694
Lakeview Terrace,34.2764,-118.3612
Ladera Heights,33.9878,-118.3704
Marina del Rey,33.9803,-118.4517
Historic Filipinotown,34.0703,-118.268
Marina Peninsula,33.9797,-118.4657
South San Gabriel,34.0492,-118.0949
View Park/Windsor Hills,33.9943,-118.3447
Cudahy,33.9609,-118.1858
Malibu,34.0259,-118.7798
Rolling Hills Estates,33.7878,-118.3581
Gramercy Place,34.0468,-118.3127
Shadow Hills,34.2575,-118.355
Vermont Square,34.0037,-118.3002
Victoria Park,34.047,-118.3319
Little Armenia,34.0981,-118.3005
La Rambla,33.744119,-118.301353
Santa Fe Springs,33.9472,-118.0853
West Puente Valley,34.0561,117.9685
Artesia,33.8658,118.0831
Cadillac-Corning,34.040282,-118.38025
Quartz Hill,34.6453,-118.2181
Reseda Ranch,34.216,-118.5356
Walnut Park,33.9689,-118.2224
Covina (Charter Oak),34.0994,-117.8464
East Rancho Dominguez,33.89807,-118.19535
Alsace,33.9786,-118.4156
Athens Village,33.92,-118.2812
Lafayette Square,34.0431,-118.3319
Northeast San Gabriel,34.0961,-118.1058
San Marino,34.1214,-118.1065
Toluca Lake,34.1502,-118.355
Westlake Village,34.1466,-118.8074
Acton,34.47,-118.1967
Del Aire,33.9161,-118.3695
Elysian Park,34.0838,-118.2366
Elysian Valley,34.0967,-118.2427
Figueroa Park Square,33.9602,-118.284
La Crescenta-Montrose,34.2288,-118.2351
Rancho Dominguez,33.8508,-118.2249
Reynier Village,34.0368,-118.3856
Thai Town,34.1018,-118.3036
Atwater Village,34.1173,-118.2614
Rancho Park,34.0454,118.4207
Angelino Heights,34.0703,-118.2548
Avocado Heights,34.0361,-117.9912
Bassett,34.0758,-118.3678
Chinatown,34.0623,-118.2383
Commerce,34.0006,-118.1598
El Camino Village,33.8895,-118.3309
Hawaiian Gardens,33.8314,-118.0728
Jefferson Park,34.0272,-118.3176
Lake Los Angeles,34.6125,-117.8281
Little Tokyo,34.0523,-118.2395
Littlerock/Pearblossom,34.5211,-117.9837
Longwood,34.055296,-118.339415
Manchester Square,33.8993,-118.2977
North Whittier,34.0396,-117.9991
Rosewood/West Rancho Dominguez,34.0057,-118.4304
San Jose Hills,34.0592,-117.8426
Sierra Madre,34.1617,-118.0528
Signal Hill,33.8045,-118.1678
St Elmo Village,34.0431,-118.343
View Heights,33.9844,-118.3477
Wellington Square,34.0392,-118.3343
