neighborhood,lat,long
Rancho Park,34.0454,-118.4207
Artesia,33.8658,-118.0831
West Puente Valley,34.0561,-117.9685
Claremont,34.1261,-117.7158
Pomona,34.0551,-117.75
La Verne,34.1202,-117.7704
San Dimas,34.1067,-117.8067
Diamond Bar,34.0286,-117.8103
Lake Los Angeles,34.6125,-117.8281
San Jose Hills,34.0592,-117.8426
Covina (Charter Oak),34.0994,-117.8464
Walnut,34.0203,-117.8653
Glendora,34.1361,-117.8653
Covina,34.09,-117.8903
Rowland Heights,33.9761,-117.9053
Azusa,34.1336,-117.9076
Azuza,34.1336,-117.9076
Valinda,34.0433,-117.9331
West Covina,34.0686,-117.939
La Puente,34.02,-117.9495
Duarte,34.1607,-117.9504
Baldwin Park,34.0853,-117.9609
Hacienda Heights,33.9931,-117.9687
Littlerock/Pearblossom,34.5211,-117.9837
Avocado Heights,34.0361,-117.9912
Monrovia,34.1481,-117.999
North Whittier,34.0396,-117.9991
La Mirada,33.919,-118.0105
Whittier,33.9679,-118.0189
El Monte,34.0733,-118.0275
Arcadia,34.1397,-118.0353
South Whittier,33.9608,-118.0417
South El Monte,34.0493,-118.0469
Sierra Madre,34.1617,-118.0528
Temple City,34.1072,-118.0579
Temple,34.1023,-118.0603
Cerritos,33.8584,-118.0648
West Whittier/Los Nietos,33.976,-118.0691
Rosemead,34.0806,-118.0728
Hawaiian Gardens,33.8314,-118.0728
Norwalk,33.9022,-118.0817
Santa Fe Springs,33.9472,-118.0853
South San Gabriel,34.0492,-118.0949
Pico Rivera,33.9831,-118.0967
Montebello,34.0095,-118.1054
San Gabriel,34.0968,-118.1057
Northeast San Gabriel,34.0961,-118.1058
San Marino,34.1214,-118.1065
Palmdale,34.5794,-118.1093
Bellflower,33.88221,-118.118
Monterey Park,34.0625,-118.1228
Alhambra,34.0953,-118.127
Downey,33.9451,-118.1281
Altadena,34.1902,-118.1313
Pasadena,34.1561,-118.1319
Lakewood,33.8536,-118.134
South Pasadena,34.1165,-118.1468
Bell Gardens,33.9653,-118.1515
Lancaster,34.6868,-118.1542
Paramount,33.8895,-118.1598
Commerce,34.0006,-118.1598
Signal Hill,33.8045,-118.1678
El Sereno,34.0875,-118.1715
East Los Angeles,34.0316,-118.1724
Highland Park,34.1145,-118.1842
Bell,33.9761,-118.1851
Cudahy,33.9609,-118.1858
Maywood,33.9885,-118.1874
