,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long
196,Playa Del Rey,1.0,31.29,2020-05-07,2020-05-04,0.0,,
7,Anaverde,1.0,66.31,2020-05-07,2020-05-04,0.0,,
32,Bradbury,1.0,93.55,2020-05-07,2020-05-04,0.0,,
159,Mandeville Canyon,1.0,32.01,2020-05-07,2020-05-04,0.0,,
152,Llano,1.0,114.03,2020-05-07,2020-05-04,0.0,,
281,Vernon,1.0,478.47,2020-05-07,2020-05-04,0.0,,
84,Elizabeth Lake,1.0,60.2,2020-05-07,2020-05-04,0.0,,
150,Littlerock/Juniper Hills,1.0,77.1,2020-05-07,2020-05-04,0.0,,
144,Leona Valley,1.0,57.11,2020-05-07,2020-05-04,0.0,,
256,Sycamore Square,1.0,154.56,2020-05-07,2020-05-04,0.0,,
123,Kagel/Lopez Canyons,1.0,70.82,2020-05-07,2020-05-04,0.0,,
255,Sunrise Village,1.0,77.16,2020-05-07,2020-05-04,0.0,,
309,White Fence Farms,2.0,54.3,2020-05-07,2020-05-04,0.0,,
209,Rolling Hills,2.0,103.09,2020-05-07,2020-05-04,0.0,,
227,Santa Catalina Island,2.0,749.06,2020-05-07,2020-05-04,0.0,,
3,Agua Dulce,2.0,48.1,2020-05-07,2020-05-04,1.0,,
105,Harbor Pines,2.0,83.02,2020-05-07,2020-05-04,1.0,,
263,Toluca Terrace,2.0,153.14,2020-05-07,2020-05-04,0.0,,
291,West Antelope Valley,2.0,132.36,2020-05-07,2020-05-04,0.0,,
64,Del Sur,2.0,82.82,2020-05-07,2020-05-04,0.0,,
191,Pearblossom/Llano,2.0,102.25,2020-05-07,2020-05-04,0.0,,
121,Irwindale,2.0,137.08,2020-05-07,2020-05-04,0.0,,
264,Toluca Woods,3.0,161.46,2020-05-07,2020-05-04,0.0,,
300,West Rancho Dominguez,3.0,220.75,2020-05-07,2020-05-04,1.0,,
205,Regent Square,3.0,107.91,2020-05-07,2020-05-04,0.0,,
183,Palisades Highlands,3.0,78.0,2020-05-07,2020-05-04,0.0,,
137,Lake Manor,3.0,182.59,2020-05-07,2020-05-04,0.0,,
176,North Lancaster,3.0,250.42,2020-05-07,2020-05-04,0.0,,
267,Twin Lakes/Oat Mountain,4.0,241.25,2020-05-07,2020-05-04,0.0,,
232,Saugus,4.0,2580.65,2020-05-07,2020-05-04,1.0,,
127,La Habra Heights,4.0,73.33,2020-05-07,2020-05-04,1.0,,
119,Industry,4.0,915.33,2020-05-07,2020-05-04,3.0,,
90,Faircrest Heights,4.0,111.11,2020-05-07,2020-05-04,2.0,,
65,Desert View Highlands,4.0,160.45,2020-05-07,2020-05-04,1.0,,
78,East Whittier,4.0,75.39,2020-05-07,2020-05-04,0.0,,
213,Rosewood,5.0,388.8,2020-05-07,2020-05-04,1.0,,
88,Exposition,5.0,150.33,2020-05-07,2020-05-04,0.0,,
272,Valencia,5.0,162.76,2020-05-07,2020-05-04,0.0,,
253,Sun Village,7.0,115.97,2020-05-07,2020-05-04,1.0,,
269,University Hills,7.0,204.14,2020-05-07,2020-05-04,0.0,,
317,Wiseburn,9.0,149.33,2020-05-07,2020-05-04,1.0,,
73,East La Mirada,9.0,170.07,2020-05-07,2020-05-04,1.0,,
149,Littlerock,11.0,273.56,2020-05-07,2020-05-04,2.0,,
297,West LA,21.0,2205.88,2020-05-07,2020-05-04,1.0,,
271,Val Verde,118.0,3566.03,2020-05-07,2020-05-04,26.0,,
