,ds,region,current_cases,new_cases,cases_7_day_avg
0,2020-03-18,,4.0,0.0,
13,2020-03-19,,6.0,2.0,
27,2020-03-20,,6.0,0.0,
42,2020-03-21,,9.0,3.0,
58,2020-03-22,,9.0,0.0,
74,2020-03-23,,9.0,0.0,
90,2020-03-24,,11.0,2.0,1.0
106,2020-03-25,,13.0,2.0,1.29
122,2020-03-26,,17.0,4.0,1.57
138,2020-03-27,,13.0,-4.0,1.0
154,2020-03-28,,16.0,3.0,1.0
170,2020-03-29,,23.0,7.0,2.0
186,2020-03-30,,24.0,1.0,2.14
203,2020-03-31,,26.0,2.0,2.14
220,2020-04-01,,26.0,0.0,1.86
237,2020-04-02,,32.0,6.0,2.14
254,2020-04-03,,32.0,0.0,2.71
271,2020-04-04,,36.0,4.0,2.86
288,2020-04-05,,51.0,15.0,4.0
305,2020-04-06,,51.0,0.0,3.86
322,2020-04-07,,57.0,6.0,4.43
339,2020-04-08,,58.0,1.0,4.57
356,2020-04-09,,62.0,4.0,4.29
373,2020-04-10,,67.0,5.0,5.0
390,2020-04-11,,69.0,2.0,4.71
407,2020-04-12,,69.0,0.0,2.57
424,2020-04-13,,70.0,1.0,2.71
441,2020-04-14,,72.0,2.0,2.14
458,2020-04-15,,70.0,-2.0,1.71
475,2020-04-16,,70.0,0.0,1.14
492,2020-04-17,,73.0,3.0,0.86
509,2020-04-18,,77.0,4.0,1.14
526,2020-04-19,,80.0,3.0,1.57
543,2020-04-20,,86.0,6.0,2.29
560,2020-04-21,,90.0,4.0,2.57
577,2020-04-22,,95.0,5.0,3.57
594,2020-04-23,,98.0,3.0,4.0
611,2020-04-24,,100.0,2.0,3.86
628,2020-04-25,,99.0,-1.0,3.14
645,2020-04-26,,102.0,3.0,3.14
662,2020-04-27,,104.0,2.0,2.57
679,2020-04-28,,109.0,5.0,2.71
696,2020-04-29,,113.0,4.0,2.57
713,2020-04-30,,114.0,1.0,2.29
730,2020-05-01,,117.0,3.0,2.43
747,2020-05-03,,125.0,8.0,3.71
764,2020-05-04,,125.0,0.0,3.29
781,2020-05-05,,128.0,3.0,3.43
798,2020-05-06,,133.0,5.0,3.43
815,2020-05-07,,134.0,1.0,3.0
832,2020-05-08,,135.0,1.0,3.0
849,2020-05-09,,139.0,4.0,3.14
866,2020-05-10,,139.0,0.0,2.0
883,2020-05-11,,139.0,0.0,2.0
28,2020-03-20,Antelope Valley,3.0,0.0,
43,2020-03-21,Antelope Valley,3.0,0.0,
59,2020-03-22,Antelope Valley,4.0,1.0,
75,2020-03-23,Antelope Valley,8.0,4.0,
91,2020-03-24,Antelope Valley,10.0,2.0,
107,2020-03-25,Antelope Valley,15.0,5.0,
123,2020-03-26,Antelope Valley,18.0,3.0,2.14
139,2020-03-27,Antelope Valley,22.0,4.0,2.71
155,2020-03-28,Antelope Valley,25.0,3.0,3.14
171,2020-03-29,Antelope Valley,30.0,5.0,3.71
187,2020-03-30,Antelope Valley,36.0,6.0,4.0
204,2020-03-31,Antelope Valley,45.0,9.0,5.0
221,2020-04-01,Antelope Valley,50.0,5.0,5.0
238,2020-04-02,Antelope Valley,53.0,3.0,5.0
255,2020-04-03,Antelope Valley,65.0,12.0,6.14
272,2020-04-04,Antelope Valley,74.0,9.0,7.0
289,2020-04-05,Antelope Valley,88.0,14.0,8.29
306,2020-04-06,Antelope Valley,107.0,19.0,10.14
323,2020-04-07,Antelope Valley,117.0,10.0,10.29
340,2020-04-08,Antelope Valley,138.0,21.0,12.57
357,2020-04-09,Antelope Valley,156.0,18.0,14.71
374,2020-04-10,Antelope Valley,172.0,16.0,15.29
391,2020-04-11,Antelope Valley,182.0,10.0,15.43
408,2020-04-12,Antelope Valley,196.0,14.0,15.43
425,2020-04-13,Antelope Valley,197.0,1.0,12.86
442,2020-04-14,Antelope Valley,211.0,14.0,13.43
459,2020-04-15,Antelope Valley,229.0,18.0,13.0
476,2020-04-16,Antelope Valley,238.0,9.0,11.71
493,2020-04-17,Antelope Valley,260.0,22.0,12.57
510,2020-04-18,Antelope Valley,289.0,29.0,15.29
527,2020-04-19,Antelope Valley,297.0,8.0,14.43
544,2020-04-20,Antelope Valley,356.0,59.0,22.71
561,2020-04-21,Antelope Valley,469.0,113.0,36.86
578,2020-04-22,Antelope Valley,536.0,67.0,43.86
595,2020-04-23,Antelope Valley,586.0,50.0,49.71
612,2020-04-24,Antelope Valley,621.0,35.0,51.57
629,2020-04-25,Antelope Valley,648.0,27.0,51.29
646,2020-04-26,Antelope Valley,663.0,15.0,52.29
663,2020-04-27,Antelope Valley,709.0,46.0,50.43
680,2020-04-28,Antelope Valley,717.0,8.0,35.43
697,2020-04-29,Antelope Valley,747.0,30.0,30.14
714,2020-04-30,Antelope Valley,766.0,19.0,25.71
731,2020-05-01,Antelope Valley,799.0,33.0,25.43
748,2020-05-03,Antelope Valley,841.0,42.0,27.57
765,2020-05-04,Antelope Valley,851.0,10.0,26.86
782,2020-05-05,Antelope Valley,893.0,42.0,26.29
799,2020-05-06,Antelope Valley,922.0,29.0,29.29
816,2020-05-07,Antelope Valley,945.0,23.0,28.29
833,2020-05-08,Antelope Valley,958.0,13.0,27.43
850,2020-05-09,Antelope Valley,979.0,21.0,25.71
867,2020-05-10,Antelope Valley,985.0,6.0,20.57
884,2020-05-11,Antelope Valley,1000.0,15.0,21.29
1,2020-03-18,Central L.A.,31.0,0.0,
14,2020-03-19,Central L.A.,38.0,7.0,
29,2020-03-20,Central L.A.,46.0,8.0,
44,2020-03-21,Central L.A.,61.0,15.0,
60,2020-03-22,Central L.A.,76.0,15.0,
76,2020-03-23,Central L.A.,98.0,22.0,
92,2020-03-24,Central L.A.,133.0,35.0,14.57
108,2020-03-25,Central L.A.,159.0,26.0,18.29
124,2020-03-26,Central L.A.,218.0,59.0,25.71
140,2020-03-27,Central L.A.,250.0,32.0,29.14
156,2020-03-28,Central L.A.,294.0,44.0,33.29
172,2020-03-29,Central L.A.,337.0,43.0,37.29
188,2020-03-30,Central L.A.,396.0,59.0,42.57
205,2020-03-31,Central L.A.,464.0,68.0,47.29
222,2020-04-01,Central L.A.,544.0,80.0,55.0
239,2020-04-02,Central L.A.,599.0,55.0,54.43
256,2020-04-03,Central L.A.,692.0,93.0,63.14
273,2020-04-04,Central L.A.,772.0,80.0,68.29
290,2020-04-05,Central L.A.,865.0,93.0,75.43
307,2020-04-06,Central L.A.,919.0,54.0,74.71
324,2020-04-07,Central L.A.,993.0,74.0,75.57
341,2020-04-08,Central L.A.,1067.0,74.0,74.71
358,2020-04-09,Central L.A.,1145.0,78.0,78.0
375,2020-04-10,Central L.A.,1207.0,62.0,73.57
392,2020-04-11,Central L.A.,1267.0,60.0,70.71
409,2020-04-12,Central L.A.,1292.0,25.0,61.0
426,2020-04-13,Central L.A.,1321.0,29.0,57.43
443,2020-04-14,Central L.A.,1393.0,72.0,57.14
460,2020-04-15,Central L.A.,1450.0,57.0,54.71
477,2020-04-16,Central L.A.,1496.0,46.0,50.14
494,2020-04-17,Central L.A.,1556.0,60.0,49.86
511,2020-04-18,Central L.A.,1657.0,101.0,55.71
528,2020-04-19,Central L.A.,1693.0,36.0,57.29
545,2020-04-20,Central L.A.,1865.0,172.0,77.71
562,2020-04-21,Central L.A.,2048.0,183.0,93.57
579,2020-04-22,Central L.A.,2198.0,150.0,106.86
596,2020-04-23,Central L.A.,2299.0,101.0,114.71
613,2020-04-24,Central L.A.,2391.0,92.0,119.29
630,2020-04-25,Central L.A.,2443.0,52.0,112.29
647,2020-04-26,Central L.A.,2494.0,51.0,114.43
664,2020-04-27,Central L.A.,2573.0,79.0,101.14
681,2020-04-28,Central L.A.,2646.0,73.0,85.43
698,2020-04-29,Central L.A.,2772.0,126.0,82.0
715,2020-04-30,Central L.A.,2874.0,102.0,82.14
732,2020-05-01,Central L.A.,3007.0,133.0,88.0
749,2020-05-03,Central L.A.,3147.0,140.0,100.57
766,2020-05-04,Central L.A.,3195.0,48.0,100.14
783,2020-05-05,Central L.A.,3375.0,180.0,114.57
800,2020-05-06,Central L.A.,3488.0,113.0,120.29
817,2020-05-07,Central L.A.,3580.0,92.0,115.43
834,2020-05-08,Central L.A.,3694.0,114.0,117.14
851,2020-05-09,Central L.A.,3778.0,84.0,110.14
868,2020-05-10,Central L.A.,3836.0,58.0,98.43
885,2020-05-11,Central L.A.,3883.0,47.0,98.29
2,2020-03-18,Eastside,5.0,0.0,
15,2020-03-19,Eastside,6.0,1.0,
30,2020-03-20,Eastside,6.0,0.0,
45,2020-03-21,Eastside,6.0,0.0,
61,2020-03-22,Eastside,7.0,1.0,
77,2020-03-23,Eastside,8.0,1.0,
93,2020-03-24,Eastside,9.0,1.0,0.57
109,2020-03-25,Eastside,8.0,-1.0,0.43
125,2020-03-26,Eastside,12.0,4.0,0.86
141,2020-03-27,Eastside,15.0,3.0,1.29
157,2020-03-28,Eastside,18.0,3.0,1.71
173,2020-03-29,Eastside,24.0,6.0,2.43
189,2020-03-30,Eastside,27.0,3.0,2.71
206,2020-03-31,Eastside,32.0,5.0,3.29
223,2020-04-01,Eastside,40.0,8.0,4.57
240,2020-04-02,Eastside,58.0,18.0,6.57
257,2020-04-03,Eastside,74.0,16.0,8.43
274,2020-04-04,Eastside,103.0,29.0,12.14
