,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long,region
0,Acton,8.0,100.36,2020-05-11,2020-05-08,0.0,34.47,-118.1967,Antelope Valley
1,Adams-Normandie,33.0,402.34,2020-05-11,2020-05-08,1.0,34.0343,-118.2993,South L.A.
2,Agoura Hills,31.0,148.45,2020-05-11,2020-05-08,0.0,34.1364,-118.7745,Santa Monica Mountains
3,Agua Dulce,3.0,72.15,2020-05-11,2020-05-08,1.0,,,
4,Alhambra,120.0,138.37,2020-05-11,2020-05-08,10.0,34.0953,-118.12700000000001,San Gabriel Valley
5,Alsace,36.0,289.27,2020-05-11,2020-05-08,3.0,33.9786,-118.4156,Westside
6,Altadena,101.0,231.55,2020-05-11,2020-05-08,15.0,34.1902,-118.1313,Verdugos
7,Anaverde,1.0,66.31,2020-05-11,2020-05-08,0.0,,,
8,Angeles National Forest,0.0,0.0,2020-05-11,2020-05-08,0.0,,,
9,Angelino Heights,11.0,439.65,2020-05-11,2020-05-08,1.0,34.0703,-118.2548,Central L.A.
10,Arcadia,58.0,93.5,2020-05-11,2020-05-08,3.0,34.1397,-118.0353,San Gabriel Valley
11,Arleta,161.0,468.43,2020-05-11,2020-05-08,14.0,34.2419,-118.4256,San Fernando Valley
12,Artesia,15.0,89.31,2020-05-11,2020-05-08,0.0,33.8658,-118.0831,Southeast
13,Athens Village,18.0,367.57,2020-05-11,2020-05-08,2.0,33.92,-118.2812,South L.A.
14,Athens-Westmont,136.0,320.44,2020-05-11,2020-05-08,10.0,33.9238,-118.3019,South L.A.
15,Atwater Village,34.0,231.83,2020-05-11,2020-05-08,0.0,34.1173,-118.2614,Northeast L.A.
16,Avalon,0.0,0.0,2020-05-11,2020-05-08,0.0,,,
17,Avocado Heights,14.0,206.64,2020-05-11,2020-05-08,0.0,34.0361,-117.9912,San Gabriel Valley
18,Azusa,135.0,205.84,2020-05-11,2020-05-08,10.0,34.1336,-117.9076,San Gabriel Valley
19,Baldwin Hills,93.0,298.8,2020-05-11,2020-05-08,8.0,34.0047,-118.3415,South L.A.
20,Baldwin Park,152.0,198.0,2020-05-11,2020-05-08,24.0,34.0853,-117.9609,San Gabriel Valley
21,Bassett,39.0,263.21,2020-05-11,2020-05-08,4.0,34.0758,-118.3678,Central L.A.
22,Bel Air,31.0,367.78,2020-05-11,2020-05-08,0.0,34.0833,-118.4487,Westside
23,Bell,154.0,423.87,2020-05-11,2020-05-08,8.0,33.9761,-118.1851,Southeast
24,Bell Gardens,136.0,315.76,2020-05-11,2020-05-08,7.0,33.9653,-118.1515,Southeast
25,Bellflower,182.0,234.13,2020-05-11,2020-05-08,11.0,33.88221,-118.118,Southeast
26,Beverly Crest,35.0,279.44,2020-05-11,2020-05-08,2.0,34.1024,-118.4163,Westside
27,Beverly Hills,119.0,344.73,2020-05-11,2020-05-08,3.0,34.0736,-118.4004,Westside
28,Beverlywood,34.0,258.1,2020-05-11,2020-05-08,1.0,34.0409,-118.3919,Westside
29,Bouquet Canyon,0.0,0.0,2020-05-11,2020-05-08,0.0,,,
30,Boyle Heights,325.0,374.06,2020-05-11,2020-05-08,39.0,34.0339,-118.2054,Eastside
31,Bradbury,2.0,187.09,2020-05-11,2020-05-08,1.0,,,
32,Brentwood,69.0,222.9,2020-05-11,2020-05-08,1.0,34.0519,-118.4731,Westside
33,Brookside,0.0,0.0,2020-05-11,2020-05-08,0.0,,,
34,Burbank,304.0,283.64,2020-05-11,2020-05-08,13.0,34.1808,-118.309,San Fernando Valley
35,Cadillac-Corning,22.0,308.95,2020-05-11,2020-05-08,1.0,34.040282,-118.38025,Central L.A.
36,Calabasas,47.0,193.23,2020-05-11,2020-05-08,0.0,34.1383,-118.6608,Santa Monica Mountains
37,Canoga Park,378.0,578.96,2020-05-11,2020-05-08,13.0,34.2011,-118.5981,San Fernando Valley
38,Canyon Country,28.0,362.32,2020-05-11,2020-05-08,0.0,34.4245,-118.4711,Northwest County
39,Carson,302.0,321.8,2020-05-11,2020-05-08,17.0,33.8374,-118.2559,Harbor
40,Carthay,69.0,480.4,2020-05-11,2020-05-08,2.0,34.0573,-118.3679,Central L.A.
41,Castaic,172.0,632.56,2020-05-11,2020-05-08,9.0,34.4889,-118.6229,Northwest County
42,Central,187.0,479.59,2020-05-11,2020-05-08,13.0,34.0833,-118.4487,Westside
43,Century City,32.0,250.16,2020-05-11,2020-05-08,2.0,34.0556,-118.4179,Westside
44,Century Palms/Cove,129.0,382.04,2020-05-11,2020-05-08,9.0,33.9461,-118.2732,South L.A.
45,Cerritos,69.0,137.82,2020-05-11,2020-05-08,5.0,33.8584,-118.0648,Southeast
46,Charter Oak,0.0,0.0,2020-05-11,2020-05-08,0.0,,,
47,Chatsworth,122.0,329.19,2020-05-11,2020-05-08,6.0,34.2506,-118.6148,San Fernando Valley
48,Cheviot Hills,18.0,196.27,2020-05-11,2020-05-08,0.0,34.0458,-118.4079,Westside
49,Chinatown,10.0,124.67,2020-05-11,2020-05-08,0.0,34.0623,-118.2383,Central L.A.
