,date,county,state,fips,cases,deaths,new_cases,new_deaths,ds,dow,week_of_year,B,deaths_7d_avg,new_hospitalizations,hospitalizations_7d_avg,new_cases_7d_avg
0,2020-01-26,Los Angeles,California,6037.0,1,0,,,2020-01-26,6,4,,,,,
1,2020-01-27,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-01-27,0,5,,,,,
2,2020-01-28,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-01-28,1,5,,,,,
3,2020-01-29,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-01-29,2,5,,,,,
4,2020-01-30,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-01-30,3,5,,,,,
5,2020-01-31,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-01-31,4,5,,,,,
6,2020-02-01,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-01,5,5,,,,,
7,2020-02-02,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-02,6,5,,0.0,,,0.0
8,2020-02-03,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-03,0,6,,0.0,,,0.0
9,2020-02-04,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-04,1,6,,0.0,,,0.0
10,2020-02-05,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-05,2,6,,0.0,,,0.0
11,2020-02-06,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-06,3,6,,0.0,,,0.0
12,2020-02-07,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-07,4,6,,0.0,,,0.0
13,2020-02-08,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-08,5,6,,0.0,,,0.0
14,2020-02-09,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-09,6,6,,0.0,,,0.0
15,2020-02-10,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-10,0,7,,0.0,,,0.0
16,2020-02-11,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-11,1,7,,0.0,,,0.0
17,2020-02-12,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-12,2,7,,0.0,,,0.0
18,2020-02-13,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-13,3,7,,0.0,,,0.0
19,2020-02-14,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-14,4,7,,0.0,,,0.0
20,2020-02-15,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-15,5,7,,0.0,,,0.0
21,2020-02-16,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-16,6,7,,0.0,,,0.0
22,2020-02-17,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-17,0,8,,0.0,,,0.0
23,2020-02-18,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-18,1,8,,0.0,,,0.0
24,2020-02-19,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-19,2,8,,0.0,,,0.0
25,2020-02-20,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-20,3,8,,0.0,,,0.0
26,2020-02-21,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-21,4,8,,0.0,,,0.0
27,2020-02-22,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-22,5,8,,0.0,,,0.0
28,2020-02-23,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-23,6,8,,0.0,,,0.0
29,2020-02-24,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-24,0,9,,0.0,,,0.0
30,2020-02-25,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-25,1,9,,0.0,,,0.0
31,2020-02-26,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-26,2,9,,0.0,,,0.0
32,2020-02-27,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-27,3,9,,0.0,,,0.0
33,2020-02-28,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-28,4,9,,0.0,,,0.0
34,2020-02-29,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-02-29,5,9,,0.0,,,0.0
35,2020-03-01,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-03-01,6,9,,0.0,,,0.0
36,2020-03-02,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-03-02,0,10,,0.0,,,0.0
37,2020-03-03,Los Angeles,California,6037.0,1,0,0.0,0.0,2020-03-03,1,10,,0.0,,,0.0
38,2020-03-04,Los Angeles,California,6037.0,7,0,6.0,0.0,2020-03-04,2,10,,0.0,,,1.0
39,2020-03-05,Los Angeles,California,6037.0,11,0,4.0,0.0,2020-03-05,3,10,,0.0,,,1.0
40,2020-03-06,Los Angeles,California,6037.0,13,0,2.0,0.0,2020-03-06,4,10,,0.0,,,2.0
41,2020-03-07,Los Angeles,California,6037.0,14,0,1.0,0.0,2020-03-07,5,10,,0.0,,,2.0
42,2020-03-08,Los Angeles,California,6037.0,14,0,0.0,0.0,2020-03-08,6,10,,0.0,,,2.0
43,2020-03-09,Los Angeles,California,6037.0,19,0,5.0,0.0,2020-03-09,0,11,,0.0,,,3.0
44,2020-03-10,Los Angeles,California,6037.0,20,0,1.0,0.0,2020-03-10,1,11,,0.0,,,3.0
45,2020-03-11,Los Angeles,California,6037.0,28,1,8.0,1.0,2020-03-11,2,11,,0.0,,,3.0
46,2020-03-12,Los Angeles,California,6037.0,32,1,4.0,0.0,2020-03-12,3,11,,0.0,,,3.0
47,2020-03-13,Los Angeles,California,6037.0,40,1,8.0,0.0,2020-03-13,4,11,,0.0,,,4.0
48,2020-03-14,Los Angeles,California,6037.0,53,1,13.0,0.0,2020-03-14,5,11,,0.0,,,6.0
49,2020-03-15,Los Angeles,California,6037.0,69,1,16.0,0.0,2020-03-15,6,11,,0.0,,,8.0
50,2020-03-16,Los Angeles,California,6037.0,94,1,25.0,0.0,2020-03-16,0,12,,0.0,,,11.0
51,2020-03-17,Los Angeles,California,6037.0,144,1,50.0,0.0,2020-03-17,1,12,,0.0,,,18.0
52,2020-03-18,Los Angeles,California,6037.0,190,1,46.0,0.0,2020-03-18,2,12,,0.0,,,23.0
53,2020-03-19,Los Angeles,California,6037.0,231,2,41.0,1.0,2020-03-19,3,12,,0.0,,,28.0
54,2020-03-20,Los Angeles,California,6037.0,292,2,61.0,0.0,2020-03-20,4,12,,0.0,,,36.0
55,2020-03-21,Los Angeles,California,6037.0,351,4,59.0,2.0,2020-03-21,5,12,,0.0,,,43.0
56,2020-03-22,Los Angeles,California,6037.0,421,5,70.0,1.0,2020-03-22,6,12,84.0,1.0,,,50.0
57,2020-03-23,Los Angeles,California,6037.0,536,7,115.0,2.0,2020-03-23,0,13,90.0,1.0,6.0,,63.0
58,2020-03-24,Los Angeles,California,6037.0,662,11,126.0,4.0,2020-03-24,1,13,119.0,1.0,29.0,,74.0
59,2020-03-25,Los Angeles,California,6037.0,799,13,137.0,2.0,2020-03-25,2,13,160.0,2.0,41.0,,87.0
60,2020-03-26,Los Angeles,California,6037.0,1216,21,417.0,8.0,2020-03-26,3,13,253.0,3.0,93.0,,141.0
61,2020-03-27,Los Angeles,California,6037.0,1465,27,249.0,6.0,2020-03-27,4,13,317.0,4.0,64.0,,168.0
62,2020-03-28,Los Angeles,California,6037.0,1804,33,339.0,6.0,2020-03-28,5,13,398.0,4.0,81.0,,208.0
63,2020-03-29,Los Angeles,California,6037.0,2136,37,332.0,4.0,2020-03-29,6,13,453.0,5.0,55.0,53.0,245.0
