,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long,region
172,Newhall,1.0,454.55,2020-06-05,2020-06-02,0.0,,,
238,South Antelope Valley,1.0,219.78,2020-06-05,2020-06-02,0.0,,,
223,San Pasqual,1.0,49.14,2020-06-05,2020-06-02,0.0,,,
191,Pellissier Village,1.0,161.55,2020-06-05,2020-06-02,0.0,,,
151,Llano,1.0,114.03,2020-06-05,2020-06-02,0.0,,,
134,Lake Hughes,1.0,149.7,2020-06-05,2020-06-02,0.0,,,
110,Hi Vista,1.0,91.07,2020-06-05,2020-06-02,0.0,,,
254,Sycamore Square,1.0,154.56,2020-06-05,2020-06-02,0.0,,,
29,Bouquet Canyon,1.0,93.2,2020-06-05,2020-06-02,0.0,,,
158,Mandeville Canyon,2.0,64.02,2020-06-05,2020-06-02,0.0,,,
288,West Antelope Valley,2.0,132.36,2020-06-05,2020-06-02,0.0,,,
7,Anaverde,2.0,132.63,2020-06-05,2020-06-02,1.0,,,
149,Littlerock/Juniper Hills,2.0,154.2,2020-06-05,2020-06-02,0.0,,,
226,Santa Catalina Island,2.0,749.06,2020-06-05,2020-06-02,0.0,,,
8,Angeles National Forest,2.0,160.64,2020-06-05,2020-06-02,1.0,,,
208,Rolling Hills,2.0,103.09,2020-06-05,2020-06-02,0.0,,,
63,Del Sur,2.0,82.82,2020-06-05,2020-06-02,0.0,,,
83,Elizabeth Lake,3.0,180.61,2020-06-05,2020-06-02,0.0,,,
111,Hidden Hills,3.0,158.73,2020-06-05,2020-06-02,0.0,,,
262,Toluca Woods,3.0,161.46,2020-06-05,2020-06-02,0.0,,,
195,Playa Del Rey,3.0,93.87,2020-06-05,2020-06-02,0.0,,,
190,Pearblossom/Llano,3.0,153.37,2020-06-05,2020-06-02,0.0,,,
143,Leona Valley,3.0,171.33,2020-06-05,2020-06-02,0.0,,,
75,East Pasadena,4.0,62.47,2020-06-05,2020-06-02,0.0,,,
231,Saugus,4.0,2580.65,2020-06-05,2020-06-02,0.0,,,
182,Palisades Highlands,4.0,104.0,2020-06-05,2020-06-02,0.0,,,
204,Regent Square,4.0,143.88,2020-06-05,2020-06-02,0.0,,,
31,Bradbury,4.0,374.18,2020-06-05,2020-06-02,0.0,,,
265,Twin Lakes/Oat Mountain,4.0,241.25,2020-06-05,2020-06-02,0.0,,,
120,Irwindale,4.0,274.16,2020-06-05,2020-06-02,0.0,,,
278,Vernon,4.0,1913.88,2020-06-05,2020-06-02,0.0,,,
136,Lake Manor,4.0,243.46,2020-06-05,2020-06-02,0.0,,,
253,Sunrise Village,5.0,385.8,2020-06-05,2020-06-02,0.0,,,
89,Faircrest Heights,5.0,138.89,2020-06-05,2020-06-02,1.0,,,
175,North Lancaster,6.0,500.83,2020-06-05,2020-06-02,0.0,,,
64,Desert View Highlands,6.0,240.67,2020-06-05,2020-06-02,0.0,,,
261,Toluca Terrace,6.0,459.42,2020-06-05,2020-06-02,0.0,,,
306,White Fence Farms,6.0,162.91,2020-06-05,2020-06-02,0.0,,,
122,Kagel/Lopez Canyons,8.0,566.57,2020-06-05,2020-06-02,0.0,,,
212,Rosewood,8.0,622.08,2020-06-05,2020-06-02,1.0,,,
269,Valencia,9.0,292.97,2020-06-05,2020-06-02,0.0,,,
104,Harbor Pines,9.0,373.6,2020-06-05,2020-06-02,0.0,,,
297,West Rancho Dominguez,10.0,735.84,2020-06-05,2020-06-02,2.0,,,
3,Agua Dulce,10.0,240.5,2020-06-05,2020-06-02,1.0,,,
126,La Habra Heights,10.0,183.32,2020-06-05,2020-06-02,1.0,,,
118,Industry,12.0,2746.0,2020-06-05,2020-06-02,0.0,,,
87,Exposition,12.0,360.79,2020-06-05,2020-06-02,-1.0,,,
77,East Whittier,12.0,226.16,2020-06-05,2020-06-02,2.0,,,
266,University Hills,14.0,408.28,2020-06-05,2020-06-02,2.0,,,
148,Littlerock,16.0,397.91,2020-06-05,2020-06-02,2.0,,,
72,East La Mirada,18.0,340.14,2020-06-05,2020-06-02,2.0,,,
314,Wiseburn,19.0,315.25,2020-06-05,2020-06-02,1.0,,,
251,Sun Village,21.0,347.91,2020-06-05,2020-06-02,1.0,,,
294,West LA,24.0,2521.01,2020-06-05,2020-06-02,0.0,,,
268,Val Verde,27.0,815.96,2020-06-05,2020-06-02,0.0,,,
